Hapalopilus / nidulans,Polyporaceae,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Hebeloma / radicosum,,,,,,,,
Helotium / caliculum,Helotiaceae,Helotiales,Leotiomycetidae,Leotiomycetes,Pezizomycotina,Ascomycota,,
Helotium / citrinum,Helotiaceae,Helotiales,Leotiomycetidae,Leotiomycetes,Pezizomycotina,Ascomycota,,
Helvella / crispa,Helvellaceae,Pezizales,Pezizomycetidae,Pezizomycetes,Pezizomycotina,Ascomycota,,
Helvella / elastica,,,,,,,,
Helvella / lacunosa,Helvellaceae,Pezizales,Pezizomycetidae,Pezizomycetes,Pezizomycotina,Ascomycota,,
Helvella / monachella,Helvellaceae,Pezizales,Pezizomycetidae,Pezizomycetes,Pezizomycotina,Ascomycota,,
Hemipholiota / populnea,Strophariaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Hericium / bresadolae,Hericiaceae,Russulales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Hericium / cirrhatum,Hericiaceae,Russulales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Humaria / hemisphaerica,,,,,,,,
Hydnum / repandum,Hydnaceae,Cantharellales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Hydnum / rufescens,,,,,,,,
Hygrocybe / conica,Hygrophoraceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Hygrocybe / nivea,,,,,,,,
Hygrophorus / chrysodon,Hygrophoraceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Hygrophorus / eburneus,Hygrophoraceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Hygrophorus / leucophaeus,,,,,,,,
Hygrophorus / marzuolus,,,,,,,,
Hygrophorus / poetarum,,,,,,,,
Hygrophorus / russula,,,,,,,,
Hymenochaete / rubiginosa,Hymenochaetaceae,Hymenochaetales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Hyphodontia / sambuci,Schizoporaceae,Hymenochaetales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Hypholoma / fasciculare,Strophariaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Hypholoma / sublateritium,Strophariaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Hypoxylon / fragiforme,Xylariaceae,Xylariales,Xylariomycetidae,Sordariomycetes,Pezizomycotina,Ascomycota,,
Hypoxylon / nummularium,Xylariaceae,Xylariales,Xylariomycetidae,Sordariomycetes,Pezizomycotina,Ascomycota,,
Inocybe / fastigiata,Inocybaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Inocybe / geophylla,,,,,,,,
Inocybe / geophylla var.liliac,,,,,,,,
Inocybe / geophylla var.violac,,,,,,,,
Inocybe / sp.,Inocybaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Inonotus / dryadeus,Hymenochaetaceae,Hymenochaetales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Kuehneromyces / mutabilis,Strophariaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basiodiomycota,,
Laccaria / laccata,Hydnangiaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Laccaria / laccata var.amethyst,,,,,,,,
Lacrymaria / velutina,,,,,,,,
Lactarius / cilicioides,,,,,,,,
Lactarius / circellatus,,,,,,,,
Lactarius / citriolens,,,,,,,,
Lactarius / controversus,,,,,,,,
